total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
37,30,7,81.1,5.393,16268.6,665.72,529.01,5,16,0,0,13,3,43.2,0.0,376.3,0,37,0,30,180,15,5,1,5,200,0,99.0,0,SENSEX,10
37,30,7,81.1,5.393,16268.6,665.72,529.01,5,16,0,0,13,3,43.2,0.0,376.3,0,37,0,30,180,15,5,1,5,200,1,99.0,0,SENSEX,10
40,30,10,75.0,5.391,25803.75,1055.99,587.59,7,28,0,0,0,5,70.0,0.0,369.3,0,40,0,30,150,30,5,1,5,0,0,99.0,0,SENSEX,10
40,30,10,75.0,5.391,25803.75,1055.99,587.59,7,28,0,0,0,5,70.0,0.0,369.3,0,40,0,30,150,30,5,1,5,0,1,99.0,0,SENSEX,10
23,16,7,69.6,5.377,12958.0,994.88,422.88,4,16,0,0,0,3,69.6,0.0,278.6,5,18,3,13,120,30,3,1,10,0,0,0.8,15,SENSEX,10
23,16,7,69.6,5.377,12958.0,994.88,422.88,4,16,0,0,0,3,69.6,0.0,278.6,5,18,3,13,120,30,3,1,10,0,1,0.8,15,SENSEX,10
23,16,7,69.6,5.377,12958.0,994.88,422.88,4,16,0,0,0,3,69.6,0.0,278.6,5,18,3,13,120,30,3,1,10,500,0,0.8,15,SENSEX,10
23,16,7,69.6,5.377,12958.0,994.88,422.88,4,16,0,0,0,3,69.6,0.0,278.6,5,18,3,13,120,30,3,1,10,500,1,0.8,15,SENSEX,10
19,13,6,68.4,5.333,10844.0,1026.67,417.12,3,12,0,0,0,4,63.2,0.0,266.2,0,19,0,13,150,30,5,1,30,0,0,99.0,15,SENSEX,10
19,13,6,68.4,5.333,10844.0,1026.67,417.12,3,12,0,0,0,4,63.2,0.0,266.2,0,19,0,13,150,30,5,1,30,0,1,99.0,15,SENSEX,10
23,16,7,69.6,5.331,12932.0,994.88,426.59,4,16,0,0,0,3,69.6,0.0,274.7,5,18,3,13,120,30,3,1,5,0,0,0.8,15,SENSEX,10
23,16,7,69.6,5.331,12932.0,994.88,426.59,4,16,0,0,0,3,69.6,0.0,274.7,5,18,3,13,120,30,3,1,5,0,1,0.8,15,SENSEX,10
23,16,7,69.6,5.331,12932.0,994.88,426.59,4,16,0,0,0,3,69.6,0.0,274.7,5,18,3,13,120,30,3,1,5,500,0,0.8,15,SENSEX,10
23,16,7,69.6,5.331,12932.0,994.88,426.59,4,16,0,0,0,3,69.6,0.0,274.7,5,18,3,13,120,30,3,1,5,500,1,0.8,15,SENSEX,10
35,29,6,82.9,5.327,20590.3,874.1,793.11,5,27,0,0,0,3,77.1,0.0,442.6,0,35,0,29,180,30,3,1,20,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.327,20590.3,874.1,793.11,5,27,0,0,0,3,77.1,0.0,442.6,0,35,0,29,180,30,3,1,20,0,1,99.0,0,SENSEX,10
19,13,6,68.4,5.298,9144.65,867.11,354.62,3,6,0,0,7,3,31.6,0.0,241.2,0,19,0,13,150,30,5,1,5,200,0,99.0,15,SENSEX,10
19,13,6,68.4,5.298,9144.65,867.11,354.62,3,6,0,0,7,3,31.6,0.0,241.2,0,19,0,13,150,30,5,1,5,200,1,99.0,15,SENSEX,10
25,18,7,72.0,5.296,16124.0,1104.29,536.18,3,18,0,0,0,4,72.0,0.0,356.7,0,25,0,18,120,30,3,1,5,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.296,16124.0,1104.29,536.18,3,18,0,0,0,4,72.0,0.0,356.7,0,25,0,18,120,30,3,1,5,0,1,99.0,20,SENSEX,10
25,18,7,72.0,5.296,16124.0,1104.29,536.18,3,18,0,0,0,4,72.0,0.0,356.7,0,25,0,18,120,30,3,1,5,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.296,16124.0,1104.29,536.18,3,18,0,0,0,4,72.0,0.0,356.7,0,25,0,18,120,30,3,1,5,500,1,99.0,20,SENSEX,10
25,18,7,72.0,5.285,11403.6,781.39,380.21,4,17,0,0,0,4,68.0,0.0,362.1,0,25,0,18,150,30,5,1,20,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.285,11403.6,781.39,380.21,4,17,0,0,0,4,68.0,0.0,362.1,0,25,0,18,150,30,5,1,20,0,1,99.0,20,SENSEX,10
19,13,6,68.4,5.285,10723.35,1017.39,417.12,3,11,0,0,1,4,57.9,0.0,266.2,0,19,0,13,150,30,5,1,30,500,0,99.0,15,SENSEX,10
19,13,6,68.4,5.285,10723.35,1017.39,417.12,3,11,0,0,1,4,57.9,0.0,266.2,0,19,0,13,150,30,5,1,30,500,1,99.0,15,SENSEX,10
9,7,2,77.8,5.273,4135.35,729.01,483.88,2,3,0,0,4,0,33.3,0.0,275.1,1,8,0,7,180,30,5,1,10,200,0,0.8,10,SENSEX,10
9,7,2,77.8,5.273,4135.35,729.01,483.88,2,3,0,0,4,0,33.3,0.0,275.1,1,8,0,7,180,30,5,1,10,200,1,0.8,10,SENSEX,10
25,18,7,72.0,5.27,16105.2,1104.29,538.86,3,18,0,0,0,4,72.0,0.0,361.3,0,25,0,18,120,30,3,1,10,0,0,99.0,20,SENSEX,10
25,18,7,72.0,5.27,16105.2,1104.29,538.86,3,18,0,0,0,4,72.0,0.0,361.3,0,25,0,18,120,30,3,1,10,0,1,99.0,20,SENSEX,10
25,18,7,72.0,5.27,16105.2,1104.29,538.86,3,18,0,0,0,4,72.0,0.0,361.3,0,25,0,18,120,30,3,1,10,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.27,16105.2,1104.29,538.86,3,18,0,0,0,4,72.0,0.0,361.3,0,25,0,18,120,30,3,1,10,500,1,99.0,20,SENSEX,10
35,29,6,82.9,5.255,21549.8,917.74,844.09,6,27,0,0,0,2,77.1,0.0,447.2,0,35,0,29,180,30,5,1,5,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.255,21549.8,917.74,844.09,6,27,0,0,0,2,77.1,0.0,447.2,0,35,0,29,180,30,5,1,5,0,1,99.0,0,SENSEX,10
25,18,7,72.0,5.239,11282.95,774.69,380.21,4,16,0,0,1,4,64.0,0.0,362.1,0,25,0,18,150,30,5,1,20,500,0,99.0,20,SENSEX,10
25,18,7,72.0,5.239,11282.95,774.69,380.21,4,16,0,0,1,4,64.0,0.0,362.1,0,25,0,18,150,30,5,1,20,500,1,99.0,20,SENSEX,10
40,30,10,75.0,5.236,25628.75,1055.99,605.09,7,28,0,0,0,5,70.0,0.0,374.3,0,40,0,30,150,30,5,1,10,0,0,99.0,0,SENSEX,10
40,30,10,75.0,5.236,25628.75,1055.99,605.09,7,28,0,0,0,5,70.0,0.0,374.3,0,40,0,30,150,30,5,1,10,0,1,99.0,0,SENSEX,10
33,27,6,81.8,5.23,15684.9,718.27,618.06,4,16,0,0,10,3,48.5,0.0,395.1,0,33,0,27,180,30,3,3,5,200,0,99.0,0,SENSEX,10
33,27,6,81.8,5.23,15684.9,718.27,618.06,4,16,0,0,10,3,48.5,0.0,395.1,0,33,0,27,180,30,3,3,5,200,1,99.0,0,SENSEX,10
37,30,7,81.1,5.217,16143.6,665.72,546.86,5,16,0,0,13,3,43.2,0.0,381.3,0,37,0,30,180,15,5,1,10,200,0,99.0,0,SENSEX,10
37,30,7,81.1,5.217,16143.6,665.72,546.86,5,16,0,0,13,3,43.2,0.0,381.3,0,37,0,30,180,15,5,1,10,200,1,99.0,0,SENSEX,10
35,29,6,82.9,5.214,20055.0,855.64,793.11,5,26,0,0,1,3,74.3,0.0,442.6,0,35,0,29,180,30,3,1,20,500,0,99.0,0,SENSEX,10
35,29,6,82.9,5.214,20055.0,855.64,793.11,5,26,0,0,1,3,74.3,0.0,442.6,0,35,0,29,180,30,3,1,20,500,1,99.0,0,SENSEX,10
33,26,7,78.8,5.125,19489.35,931.33,675.01,5,24,0,0,0,4,72.7,0.0,395.1,0,33,0,26,180,30,3,3,5,0,0,99.0,0,SENSEX,10
33,26,7,78.8,5.125,19489.35,931.33,675.01,5,24,0,0,0,4,72.7,0.0,395.1,0,33,0,26,180,30,3,3,5,0,1,99.0,0,SENSEX,10
36,31,5,86.1,5.119,15768.1,632.13,765.59,5,17,0,0,13,1,47.2,0.0,438.6,0,36,0,31,180,30,5,1,5,200,0,99.0,0,SENSEX,10
36,31,5,86.1,5.119,15768.1,632.13,765.59,5,17,0,0,13,1,47.2,0.0,438.6,0,36,0,31,180,30,5,1,5,200,1,99.0,0,SENSEX,10
19,13,6,68.4,5.117,9069.65,867.11,367.12,3,6,0,0,7,3,31.6,0.0,246.2,0,19,0,13,150,30,5,1,10,200,0,99.0,15,SENSEX,10
19,13,6,68.4,5.117,9069.65,867.11,367.12,3,6,0,0,7,3,31.6,0.0,246.2,0,19,0,13,150,30,5,1,10,200,1,99.0,15,SENSEX,10
35,29,6,82.9,5.104,21399.8,917.74,869.09,6,27,0,0,0,2,77.1,0.0,452.2,0,35,0,29,180,30,5,1,10,0,0,99.0,0,SENSEX,10
35,29,6,82.9,5.104,21399.8,917.74,869.09,6,27,0,0,0,2,77.1,0.0,452.2,0,35,0,29,180,30,5,1,10,0,1,99.0,0,SENSEX,10
